date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20170216,2017-02-16,2017,1,2,February,16,4,Thursday,False
20170217,2017-02-17,2017,1,2,February,17,5,Friday,False
20170218,2017-02-18,2017,1,2,February,18,6,Saturday,True
20170219,2017-02-19,2017,1,2,February,19,7,Sunday,True
20170220,2017-02-20,2017,1,2,February,20,1,Monday,False
20170221,2017-02-21,2017,1,2,February,21,2,Tuesday,False
20170222,2017-02-22,2017,1,2,February,22,3,Wednesday,False
20170223,2017-02-23,2017,1,2,February,23,4,Thursday,False
20170224,2017-02-24,2017,1,2,February,24,5,Friday,False
20170225,2017-02-25,2017,1,2,February,25,6,Saturday,True
20170226,2017-02-26,2017,1,2,February,26,7,Sunday,True
20170227,2017-02-27,2017,1,2,February,27,1,Monday,False
20170228,2017-02-28,2017,1,2,February,28,2,Tuesday,False
20170301,2017-03-01,2017,1,3,March,1,3,Wednesday,False
20170302,2017-03-02,2017,1,3,March,2,4,Thursday,False
20170303,2017-03-03,2017,1,3,March,3,5,Friday,False
20170304,2017-03-04,2017,1,3,March,4,6,Saturday,True
20170305,2017-03-05,2017,1,3,March,5,7,Sunday,True
20170306,2017-03-06,2017,1,3,March,6,1,Monday,False
20170307,2017-03-07,2017,1,3,March,7,2,Tuesday,False
20170308,2017-03-08,2017,1,3,March,8,3,Wednesday,False
20170309,2017-03-09,2017,1,3,March,9,4,Thursday,False
20170310,2017-03-10,2017,1,3,March,10,5,Friday,False
20170311,2017-03-11,2017,1,3,March,11,6,Saturday,True
20170312,2017-03-12,2017,1,3,March,12,7,Sunday,True
20170313,2017-03-13,2017,1,3,March,13,1,Monday,False
20170314,2017-03-14,2017,1,3,March,14,2,Tuesday,False
20170315,2017-03-15,2017,1,3,March,15,3,Wednesday,False
20170316,2017-03-16,2017,1,3,March,16,4,Thursday,False
20170317,2017-03-17,2017,1,3,March,17,5,Friday,False
20170318,2017-03-18,2017,1,3,March,18,6,Saturday,True
20170319,2017-03-19,2017,1,3,March,19,7,Sunday,True
20170320,2017-03-20,2017,1,3,March,20,1,Monday,False
20170321,2017-03-21,2017,1,3,March,21,2,Tuesday,False
20170322,2017-03-22,2017,1,3,March,22,3,Wednesday,False
20170323,2017-03-23,2017,1,3,March,23,4,Thursday,False
20170324,2017-03-24,2017,1,3,March,24,5,Friday,False
20170325,2017-03-25,2017,1,3,March,25,6,Saturday,True
20170326,2017-03-26,2017,1,3,March,26,7,Sunday,True
20170327,2017-03-27,2017,1,3,March,27,1,Monday,False
20170328,2017-03-28,2017,1,3,March,28,2,Tuesday,False
20170329,2017-03-29,2017,1,3,March,29,3,Wednesday,False
20170330,2017-03-30,2017,1,3,March,30,4,Thursday,False
20170331,2017-03-31,2017,1,3,March,31,5,Friday,False
20170401,2017-04-01,2017,2,4,April,1,6,Saturday,True
20170402,2017-04-02,2017,2,4,April,2,7,Sunday,True
20170403,2017-04-03,2017,2,4,April,3,1,Monday,False
20170404,2017-04-04,2017,2,4,April,4,2,Tuesday,False
20170405,2017-04-05,2017,2,4,April,5,3,Wednesday,False
20170406,2017-04-06,2017,2,4,April,6,4,Thursday,False
20170407,2017-04-07,2017,2,4,April,7,5,Friday,False
20170408,2017-04-08,2017,2,4,April,8,6,Saturday,True
20170409,2017-04-09,2017,2,4,April,9,7,Sunday,True
20170410,2017-04-10,2017,2,4,April,10,1,Monday,False
20170411,2017-04-11,2017,2,4,April,11,2,Tuesday,False
20170412,2017-04-12,2017,2,4,April,12,3,Wednesday,False
20170413,2017-04-13,2017,2,4,April,13,4,Thursday,False
20170414,2017-04-14,2017,2,4,April,14,5,Friday,False
20170415,2017-04-15,2017,2,4,April,15,6,Saturday,True
20170416,2017-04-16,2017,2,4,April,16,7,Sunday,True
20170417,2017-04-17,2017,2,4,April,17,1,Monday,False
20170418,2017-04-18,2017,2,4,April,18,2,Tuesday,False
20170419,2017-04-19,2017,2,4,April,19,3,Wednesday,False
20170420,2017-04-20,2017,2,4,April,20,4,Thursday,False
20170421,2017-04-21,2017,2,4,April,21,5,Friday,False
20170422,2017-04-22,2017,2,4,April,22,6,Saturday,True
20170423,2017-04-23,2017,2,4,April,23,7,Sunday,True
20170424,2017-04-24,2017,2,4,April,24,1,Monday,False
20170425,2017-04-25,2017,2,4,April,25,2,Tuesday,False
20170426,2017-04-26,2017,2,4,April,26,3,Wednesday,False
20170427,2017-04-27,2017,2,4,April,27,4,Thursday,False
20170428,2017-04-28,2017,2,4,April,28,5,Friday,False
20170429,2017-04-29,2017,2,4,April,29,6,Saturday,True
20170430,2017-04-30,2017,2,4,April,30,7,Sunday,True
20170501,2017-05-01,2017,2,5,May,1,1,Monday,False
20170502,2017-05-02,2017,2,5,May,2,2,Tuesday,False
20170503,2017-05-03,2017,2,5,May,3,3,Wednesday,False
20170504,2017-05-04,2017,2,5,May,4,4,Thursday,False
20170505,2017-05-05,2017,2,5,May,5,5,Friday,False
20170506,2017-05-06,2017,2,5,May,6,6,Saturday,True
20170507,2017-05-07,2017,2,5,May,7,7,Sunday,True
20170508,2017-05-08,2017,2,5,May,8,1,Monday,False
20170509,2017-05-09,2017,2,5,May,9,2,Tuesday,False
20170510,2017-05-10,2017,2,5,May,10,3,Wednesday,False
20170511,2017-05-11,2017,2,5,May,11,4,Thursday,False
20170512,2017-05-12,2017,2,5,May,12,5,Friday,False
20170513,2017-05-13,2017,2,5,May,13,6,Saturday,True
20170514,2017-05-14,2017,2,5,May,14,7,Sunday,True
20170515,2017-05-15,2017,2,5,May,15,1,Monday,False
20170516,2017-05-16,2017,2,5,May,16,2,Tuesday,False
20170517,2017-05-17,2017,2,5,May,17,3,Wednesday,False
20170518,2017-05-18,2017,2,5,May,18,4,Thursday,False
20170519,2017-05-19,2017,2,5,May,19,5,Friday,False
20170520,2017-05-20,2017,2,5,May,20,6,Saturday,True
20170521,2017-05-21,2017,2,5,May,21,7,Sunday,True
20170522,2017-05-22,2017,2,5,May,22,1,Monday,False
20170523,2017-05-23,2017,2,5,May,23,2,Tuesday,False
20170524,2017-05-24,2017,2,5,May,24,3,Wednesday,False
20170525,2017-05-25,2017,2,5,May,25,4,Thursday,False
20170526,2017-05-26,2017,2,5,May,26,5,Friday,False
20170527,2017-05-27,2017,2,5,May,27,6,Saturday,True
20170528,2017-05-28,2017,2,5,May,28,7,Sunday,True
20170529,2017-05-29,2017,2,5,May,29,1,Monday,False
20170530,2017-05-30,2017,2,5,May,30,2,Tuesday,False
20170531,2017-05-31,2017,2,5,May,31,3,Wednesday,False
20170601,2017-06-01,2017,2,6,June,1,4,Thursday,False
20170602,2017-06-02,2017,2,6,June,2,5,Friday,False
20170603,2017-06-03,2017,2,6,June,3,6,Saturday,True
20170604,2017-06-04,2017,2,6,June,4,7,Sunday,True
20170605,2017-06-05,2017,2,6,June,5,1,Monday,False
20170606,2017-06-06,2017,2,6,June,6,2,Tuesday,False
20170607,2017-06-07,2017,2,6,June,7,3,Wednesday,False
20170608,2017-06-08,2017,2,6,June,8,4,Thursday,False
20170609,2017-06-09,2017,2,6,June,9,5,Friday,False
20170610,2017-06-10,2017,2,6,June,10,6,Saturday,True
20170611,2017-06-11,2017,2,6,June,11,7,Sunday,True
20170612,2017-06-12,2017,2,6,June,12,1,Monday,False
20170613,2017-06-13,2017,2,6,June,13,2,Tuesday,False
20170614,2017-06-14,2017,2,6,June,14,3,Wednesday,False
20170615,2017-06-15,2017,2,6,June,15,4,Thursday,False
20170616,2017-06-16,2017,2,6,June,16,5,Friday,False
